job_title,company,company_description,published_at,salary,location
Senior Fullstack Developer (Node.JS / Angular),Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-30 19:08:33,48000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Senior Back-End Developer,Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-29 12:19:20,48000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Lead Fullstack Developer (Node.JS / Angular),Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-28 12:17:15,55000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Senior Project Manager,Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-24 12:03:26,70000,"['Aveiro', 'Braga', 'Coimbra', 'Lisboa', 'Setúbal', 'Porto']"
Data Engineer,Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-22 13:28:33,35000,"['Porto', 'Setúbal', 'Lisboa', 'Coimbra', 'Braga', 'Aveiro']"
Fullstack Developer (Node.JS / Angular),Altar.io,We build digital products for entrepreneurs and business leaders who want to revolutionize their industries.,2024-10-21 12:20:03,42000,"['Porto', 'Setúbal', 'Lisboa', 'Coimbra', 'Braga', 'Aveiro']"
